Category,Race,meters_incline_per_hour
20K,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - HALF MARATHON",913.88
20K,"VILLACIDRO SKYRACE  - 21K",809.1
20K,"MONTREUX TRAIL FESTIVAL  - FREDDIE'S NIGHT",796.17
50K,"SIERRE-ZINAL ",759.72
50K,"TRAIL D'ALBERTVILLE ",713.24
20K,"PORTO DA CRUZ NATURA  - TRAIL LONGO",673.98
50K,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",664.96
20K,"EDF TRAIL VALLÉES D'AIGUEBLANCHE  - ÉCHAPEAUX BELLE",662.56
50K,"TRAIL SACRED FORESTS  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",662.53
20K,"TRAIL LA ROSIERE  - 15 KM",662.34
50K,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 50 KM",648.03
50K,"TRAIL UBAYE SALOMON  - UBAYE TRAIL SALOMON",647.2
50K,"TRAIL DES PASSERELLES DU MONTEYNARD  - MARATRAIL DES PASSERELLES 42KM",645.67
50K,"TRAILS DE LA VALLÉE DU BREVON  - TRAIL DES ALLOBROGES",641.51
50K,"TRAIL DES CABORNIS  - 40K",639.84
50K,"TRAIL DROME  - 42 KM",636.89
20K,"TRAIL CHERAN SEMNOZ ",628.07
50K,"COURCHEVEL X-TRAIL  - 54 KM",623.36
50K,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",619.75
50K,"ERGYSPORT TRAIL DU VENTOUX  - 48 KM",615.27
50K,"LOZÈRE TRAIL  - LOZERE TRAIL",611.38
50K,"TRAIL DU VENTOUX  - LE 46 ORIGINE",609.8
50K,"TRAIL UBAYE SALOMON ",605.23
50K,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",603.3
100K,"MAXI-RACE DU LAC D'ANNECY  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",602.78
50K,"LA BOUILLONNANTE  - LA BOUILLONNANTE 50",599.11
50K,"HERITAGE TRAIL  - HERITAGE TRAIL",597.99
100K,"HIGH TRAIL VANOISE  - HTV",596.83
50K,"TRAIL GAPEN'CIMES  - TRAIL EDELWEISS",592.03
100K,"ULTRA TRAIL DI CORSICA  - RESTONICA TRAIL",587.72
100K,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - ULTRAMARATHON",583.23
50K,"MONTREUX TRAIL FESTIVAL  - LA LEYSIN 30",581.07
