Date,Race,Category,Distance_km,km/h
2008-12-07,"LA SAINTÉLYON ",50K,70,13.6
2009-12-06,"LA SAINTÉLYON ",50K,70,12.61
2019-04-14,"TRAIL DROME  - 42 KM",50K,42.7,12.53
2020-10-11,"EDF TRAIL VALLÉES D'AIGUEBLANCHE  - ÉCHAPEAUX BELLE",20K,25.8,12.39
2019-04-27,"LA BOUILLONNANTE  - LA BOUILLONNANTE 50",50K,52.5,12.24
2017-03-19,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,46.3,12.11
2017-07-23,"PORTO DA CRUZ NATURA  - TRAIL LONGO",20K,22.4,12.08
2020-03-08,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",50K,44.9,11.99
2018-03-18,"ERGYSPORT TRAIL DU VENTOUX  - 48 KM",50K,48.1,11.98
2019-06-08,"ABUTRES TRAIL WORLD CHAMPIONSHIPS  - TWC ",50K,44,11.78
2015-05-10,"TRAIL DU SALEVE ",50K,41,11.75
2019-07-27,"MONTREUX TRAIL FESTIVAL  - FREDDIE'S NIGHT",20K,14.3,11.74
2011-12-04,"LA SAINTÉLYON ",50K,70,11.74
2022-07-17,"TRAIL LA ROSIERE  - 15 KM",20K,15,11.69
2014-03-09,"TRAIL DES CABORNIS  - 40K",50K,40,11.63
2016-03-20,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,44.9,11.56
2021-06-06,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,45.8,11.55
2019-03-17,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",50K,44.9,11.47
2016-04-10,"TRAIL CHERAN SEMNOZ ",20K,23.3,11.43
2011-05-22,"LOZÈRE TRAIL  - LOZERE TRAIL",50K,43,11.43
2025-03-09,"TRAIL DU VENTOUX  - LE 46 ORIGINE",50K,48,11.26
2011-05-01,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,51,11.26
2012-04-28,"HOKA HIGHLAND FLING  - 53 MILE ULTRA RACE",100K,85,11.25
2010-03-21,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,41,11.24
2010-05-02,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,49,11.21
2015-05-02,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,48.3,11.11
2014-09-28,"TRAIL DROME LAFUMA  - CHAMPIONNATS DE FRANCE TRAIL LONG",50K,61.5,11.11
2010-04-24,"TRAIL DES BALCONS D'AZUR  - TBA",50K,53,11.03
2012-05-05,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,51,10.96
2009-06-13,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",50K,42.2,10.95
2011-07-31,"XTREME DODO TRAIL ",100K,80,10.92
2012-08-05,"TRAIL CENIS TOUR  - 50 KM",50K,50,10.85
2010-06-12,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",50K,42,10.8
2017-06-10,"TRAIL SACRED FORESTS  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",50K,48.7,10.79
2008-01-01,"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",100K,72,10.78
2012-04-07,"TRAIL SAINTE VICTOIRE ",50K,59,10.77
2017-04-23,"GARGANO RUNNING WEEK  - MATTINATA TRAIL",20K,31.2,10.75
2020-08-29,"TRAIL DES PASSERELLES DU MONTEYNARD  - MARATRAIL DES PASSERELLES 42KM",50K,42.9,10.74
2020-10-29,"GOLDEN TRAIL CHAMPIONSHIP  - VOLCANOES TRAIL",20K,23.3,10.71
2016-04-02,"TRAIL SAINTE VICTOIRE ",50K,53,10.7
2018-10-21,"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",100K,78.4,10.68
2020-10-29,"GOLDEN TRAIL CHAMPIONSHIP  - GTC AZORES",50K,111.9,10.58
2012-06-09,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",50K,42,10.42
2010-08-08,"TRAIL UBAYE SALOMON ",50K,42,10.42
2021-07-11,"TRAIL DES PASSERELLES DU MONTEYNARD  - LA GRANDE COURSE 65KM",50K,65.1,10.39
2011-10-23,"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",100K,73.5,10.36
2010-05-08,"ROYAL RAID ILE MAURICE  - ROYAL RAID ILE MAURICE 80",100K,80,10.35
2013-09-22,"TRAIL D'ALBERTVILLE ",50K,34.2,10.33
2013-06-15,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",50K,44,10.32
2014-07-26,"LA 6000D LA COURSE DES GÉANTS  - LA 6000D",50K,64.3,10.3
2019-05-11,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - HALF MARATHON",20K,24.1,10.29
2011-06-18,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",50K,42.2,10.26
2014-08-10,"TRAIL UBAYE SALOMON  - UBAYE TRAIL SALOMON",50K,40.4,10.21
2021-05-22,"CORFU MOUNTAIN TRAIL  - RAIN TRAIL 40 KM",50K,39.1,10.17
2007-08-12,"SIERRE-ZINAL ",50K,30,10.15
2015-04-12,"TRAIL SAINTE VICTOIRE ",50K,56.7,10.06
2017-05-13,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - ULTRAMARATHON",100K,73.5,10.06
2012-09-23,"TRAIL D'ALBERTVILLE ",50K,34.2,10
2022-06-25,"WESTERN STATES ENDURANCE RUN  - WESTERN STATES 100-MILE ENDURANCE RUN",100M,161.2,9.87
2024-04-07,"TRAIL SAINTE-VICTOIRE  - TRAIL SAINTE VICTOIRE-LES CRÊTES",50K,60,9.86
2016-10-29,"TRANS PENEDA GERÊS  - TRAIL WORLD CHAMPIONSHIPS",100K,85.9,9.83
2011-06-12,"MARATRAIL DE LANS EN VERCORS - PIC ST-MICHEL ",50K,47,9.83
2009-07-12,"MERRELL SKY RACE  - LE TRAIL DES CERCES",100K,68,9.8
2025-04-25,"GRAND RAID VENTOUX BY UTMB  - GRV - 100M",100M,124,9.79
2023-06-24,"WESTERN STATES ENDURANCE RUN  - WESTERN STATES 100-MILE ENDURANCE RUN",100M,159.9,9.77
2015-05-30,"MAXI-RACE DU LAC D'ANNECY  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",100K,82.7,9.67
2014-04-06,"TRAIL SAINTE VICTOIRE ",50K,56.5,9.62
2008-08-10,"SIERRE-ZINAL ",50K,30,9.58
2012-07-01,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - LE TOUR DES GLACIERS DE LA VANOISE",50K,62,9.53
2018-05-12,"PENYAGOLOSA TRAILS HG  - IAUTWC",100K,85.3,9.51
2017-07-30,"MONTREUX TRAIL FESTIVAL  - LA LEYSIN 30",50K,33.4,9.47
2011-08-07,"TRAIL UBAYE SALOMON ",50K,42,9.44
2018-08-12,"HERITAGE TRAIL  - HERITAGE TRAIL",50K,52.5,9.43
2022-11-05,"THE AMAZING THAILAND WMRC  - CHIANGMAI WMTRC  LONG",100K,78,9.42
2010-05-23,"TRAIL DES MAURES  - TRAIL DES MAURES LONG",50K,45,9.39
2016-05-28,"MAXI-RACE DU LAC D'ANNECY  - TECNICA MAXI-RACE",100K,83.7,9.37
2010-07-25,"TRAIL DES MELEZES  - LA GRANDE TRAVERSEE DES MELEZES DU MERCANTOUR",50K,58,9.36
2016-05-01,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,45.4,9.3
2017-09-01,"UTMB®  - CCC®",100K,100.2,9.24
2011-04-03,"TRAIL SAINTE VICTOIRE ",50K,61,9.21
2013-06-30,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - LE TOUR DES GLACIERS DE LA VANOISE",100K,65.6,9.19
2017-07-02,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - TGV 72K",100K,72.6,9.18
2012-10-07,"TRAIL GAPEN'CIMES  - TRAIL EDELWEISS",50K,45,8.97
2014-06-28,"GRAND RAID DU QUEYRAS  - GRAND RAID DU QUEYRAS (SEMI)",50K,58,8.92
2022-04-24,"VILLACIDRO SKYRACE  - 21K",20K,21,8.85
2009-05-31,"TRAILS DE LA VALLÉE DU BREVON  - TRAIL DES ALLOBROGES",50K,55,8.82
2023-12-09,"DOI INTHANON BY UTMB  - ELEPHANT 100",100K,95,8.74
2014-08-17,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",50K,45,8.71
2016-12-04,"MSIG LANTAU 50  - 50K",50K,51.5,8.68
2023-08-20,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER-THABOR",50K,67,8.57
2024-05-10,"VALHOLL ARGENTINA BY UTMB  - EPIC 125K - ",100M,125,8.55
2009-09-27,"TRAIL DES AIGUILLES ROUGES  - TAR",50K,54,8.53
2016-07-09,"SKYRACE DE MONTGENEVRE  - SKY RACE MAX DE MONTGENEVRE",100K,60,8.39
2020-09-13,"SERRE CHE TRAIL  - GRAND TOUR DES CERCES",100K,60.9,8.37
2009-05-23,"LE GRAND RAID 73 ",100K,73,8.34
2012-05-26,"MAXI-RACE DU LAC D'ANNECY  - TECNICA MAXI-RACE",100K,87,8.33
2016-08-07,"COURCHEVEL X-TRAIL  - 54 KM",50K,53.4,8.3
2024-08-30,"HOKA UTMB MONT-BLANC  - UTMB",100M,173.3,8.27
2023-09-01,"DACIA UTMB® MONT BLANC  - UTMB",100M,171,8.14
2019-08-10,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 50 KM",50K,50.9,8.14
2013-05-25,"LE GRAND RAID 73 ",50K,59,8.08
2012-08-31,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - UTMB®",100K,105,8.07
2011-08-21,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",100K,70,8.01
2012-07-07,"ULTRA TRAIL DI CORSICA  - RESTONICA TRAIL",100K,68,7.99
2012-08-19,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",50K,41,7.98
2021-08-27,"UTMB® ",100M,172.1,7.95
2022-08-23,"UTMB® MONT BLANC  - TDS®",100M,146.7,7.88
2011-07-02,"TRAIL VERBIER ST BERNARD  - X-ALPINE SOLO",100M,111,7.85
2019-08-28,"UTMB®  - TDS®",100M,145.5,7.81
2018-07-08,"HIGH TRAIL VANOISE  - HTV",100K,70.2,7.79
2009-08-28,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - CCC®",100K,98,7.79
2016-08-26,"UTMB® ",100M,171,7.77
2019-07-06,"HIGH TRAIL VANOISE  - HTV",100K,70.2,7.73
2020-07-25,"MONTREUX TRAIL FESTIVAL  - MXTREME",100M,111.6,7.37
2024-07-12,"HARDROCK 100 ENDURANCE RUN  - 100MI CW",100M,157.7,7.32
2016-11-26,"MAXI-RACE CHINA  - JIANGSHAN STATION 60K",100K,63.1,7.23
2014-07-12,"TRAIL VERBIER ST BERNARD  - X-ALPINE SOLO",100M,104.7,7.17
2021-10-21,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",100M,160.2,6.95
2019-10-17,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",100M,168.1,6.88
2014-10-23,"LE GRAND RAID DE LA RÉUNION ",100M,172.6,6.66
2009-10-23,"LA DIAGONALE DES FOUS ",100M,147.8,6.59
2012-06-16,"ARAVISTRAIL  - ARAVISTRAIL - 70KM",100K,80,6.35
2010-07-03,"LA MONTAGN'HARD  - LA MONTAGN'HARD 100 - MONT-JOLY ULTRA-TOUR",100M,120,5.93
2022-07-03,"WEEK END DU TOUR DES GLACIERS DE LA VANOISE  - TGV 73K",100K,72.9,5.78
2019-08-11,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 25 KM",20K,24.4,5.39
2023-10-19,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",100M,167.3,4.27
2022-10-20,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",100M,168.4,NULL
2018-08-29,"UTMB®  - TDS®",100M,122.8,NULL
2017-10-19,"GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",100M,164.9,NULL
