Date,Race,z_score_minutes
2020-10-29,"GOLDEN TRAIL CHAMPIONSHIP  - GTC AZORES",4.313308167885395
2019-08-11,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 25 KM",2.5360352750348145
2023-10-19,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",2.5103234029691386
2012-08-31,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - UTMB®",2.245323423889141
2023-08-20,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER-THABOR",2.2193882903830984
2012-06-16,"ARAVISTRAIL  - ARAVISTRAIL - 70KM",2.023682458685717
2022-07-03,"WEEK END DU TOUR DES GLACIERS DE LA VANOISE  - TGV 73K",2.0220487414974855
2009-08-28,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - CCC®",2.0055300454831433
2013-05-25,"LE GRAND RAID 73 ",1.8333732120592605
2011-04-03,"TRAIL SAINTE VICTOIRE ",1.3160295033518956
2012-07-01,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - LE TOUR DES GLACIERS DE LA VANOISE",1.2273383955495325
2014-06-28,"GRAND RAID DU QUEYRAS  - GRAND RAID DU QUEYRAS (SEMI)",1.2232897287168996
2016-08-07,"COURCHEVEL X-TRAIL  - 54 KM",1.171036622408232
2009-09-27,"TRAIL DES AIGUILLES ROUGES  - TAR",1.0920876191718916
2023-12-09,"DOI INTHANON BY UTMB  - ELEPHANT 100",1.080210782481953
2017-09-01,"UTMB®  - CCC®",1.065688851919894
2021-07-11,"TRAIL DES PASSERELLES DU MONTEYNARD  - LA GRANDE COURSE 65KM",1.04211188795658
2019-08-10,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 50 KM",1.0319902208749978
2014-07-26,"LA 6000D LA COURSE DES GÉANTS  - LA 6000D",1.0280680748808848
2009-05-31,"TRAILS DE LA VALLÉE DU BREVON  - TRAIL DES ALLOBROGES",1.021109428762297
2010-07-25,"TRAIL DES MELEZES  - LA GRANDE TRAVERSEE DES MELEZES DU MERCANTOUR",0.989479219132353
2014-10-23,"LE GRAND RAID DE LA RÉUNION ",0.9711223192375089
2024-04-07,"TRAIL SAINTE-VICTOIRE  - TRAIL SAINTE VICTOIRE-LES CRÊTES",0.908632403318216
2012-05-26,"MAXI-RACE DU LAC D'ANNECY  - TECNICA MAXI-RACE",0.844138648782483
2011-12-04,"LA SAINTÉLYON ",0.8136152535898642
2019-10-17,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",0.7983440078263959
2016-12-04,"MSIG LANTAU 50  - 50K",0.7895762942711066
2014-04-06,"TRAIL SAINTE VICTOIRE ",0.744661396596586
2017-04-23,"GARGANO RUNNING WEEK  - MATTINATA TRAIL",0.7010728626985132
2021-10-21,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",0.6367326274222854
2015-04-12,"TRAIL SAINTE VICTOIRE ",0.5681648268614982
2009-10-23,"LA DIAGONALE DES FOUS ",0.5675285670986125
2016-08-26,"UTMB® ",0.5163307000249852
2018-08-12,"HERITAGE TRAIL  - HERITAGE TRAIL",0.5150260746831922
2009-12-06,"LA SAINTÉLYON ",0.5012353032845366
2014-09-28,"TRAIL DROME LAFUMA  - CHAMPIONNATS DE FRANCE TRAIL LONG",0.48946886530219735
2021-08-27,"UTMB® ",0.4751792068676922
2024-07-12,"HARDROCK 100 ENDURANCE RUN  - 100MI CW",0.4643020751082763
2012-04-07,"TRAIL SAINTE VICTOIRE ",0.4458191760128745
2023-09-01,"DACIA UTMB® MONT BLANC  - UTMB",0.40209183662635933
2024-08-30,"HOKA UTMB MONT-BLANC  - UTMB",0.3961026521762368
2010-07-03,"LA MONTAGN'HARD  - LA MONTAGN'HARD 100 - MONT-JOLY ULTRA-TOUR",0.31279502847001756
2014-08-17,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",0.21074345804313027
2008-12-07,"LA SAINTÉLYON ",0.1955609574207571
2012-08-19,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",0.18771666543253096
2019-08-28,"UTMB®  - TDS®",0.12450279733810349
2022-08-23,"UTMB® MONT BLANC  - TDS®",0.1242129980905169
2019-07-06,"HIGH TRAIL VANOISE  - HTV",0.10542619350374938
2022-04-24,"VILLACIDRO SKYRACE  - 21K",0.10482279136810567
2012-10-07,"TRAIL GAPEN'CIMES  - TRAIL EDELWEISS",0.09598905750569318
2019-05-11,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - HALF MARATHON",0.06950615198243566
2018-07-08,"HIGH TRAIL VANOISE  - HTV",0.06685231544828042
2016-04-02,"TRAIL SAINTE VICTOIRE ",0.0463928888059409
2018-05-12,"PENYAGOLOSA TRAILS HG  - IAUTWC",0.043889512747024795
2016-05-28,"MAXI-RACE DU LAC D'ANNECY  - TECNICA MAXI-RACE",0.024375668554258146
