Date,Race,z_score_minutes
2016-05-01,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",-0.005607175825687149
2010-04-24,"TRAIL DES BALCONS D'AZUR  - TBA",-0.06570457412258088
2010-05-23,"TRAIL DES MAURES  - TRAIL DES MAURES LONG",-0.07329582443376745
2009-05-23,"LE GRAND RAID 73 ",-0.07700555918211553
2011-08-21,"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",-0.08018223149256593
2016-10-29,"TRANS PENEDA GERÊS  - TRAIL WORLD CHAMPIONSHIPS",-0.08272356934092623
2011-06-12,"MARATRAIL DE LANS EN VERCORS - PIC ST-MICHEL ",-0.08341749151534954
2016-11-26,"MAXI-RACE CHINA  - JIANGSHAN STATION 60K",-0.09061986908404575
2020-10-29,"GOLDEN TRAIL CHAMPIONSHIP  - VOLCANOES TRAIL",-0.11703333158123626
2023-06-24,"WESTERN STATES ENDURANCE RUN  - WESTERN STATES 100-MILE ENDURANCE RUN",-0.13693476388466083
2022-06-25,"WESTERN STATES ENDURANCE RUN  - WESTERN STATES 100-MILE ENDURANCE RUN",-0.14054759450457338
2012-05-05,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",-0.1813446205296564
2015-05-30,"MAXI-RACE DU LAC D'ANNECY  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",-0.18374174881324845
2012-07-07,"ULTRA TRAIL DI CORSICA  - RESTONICA TRAIL",-0.20797522043868422
2012-08-05,"TRAIL CENIS TOUR  - 50 KM",-0.21550524692999595
2020-10-11,"EDF TRAIL VALLÉES D'AIGUEBLANCHE  - ÉCHAPEAUX BELLE",-0.22223183187897672
2016-04-10,"TRAIL CHERAN SEMNOZ ",-0.2727646829148556
2011-05-01,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",-0.2728191867794546
2020-07-25,"MONTREUX TRAIL FESTIVAL  - MXTREME",-0.27858863610497625
2017-06-10,"TRAIL SACRED FORESTS  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",-0.2863569165010707
2022-11-05,"THE AMAZING THAILAND WMRC  - CHIANGMAI WMTRC  LONG",-0.3315931543482106
2011-08-07,"TRAIL UBAYE SALOMON ",-0.3358265643623032
2024-05-10,"VALHOLL ARGENTINA BY UTMB  - EPIC 125K - ",-0.339079399051213
2014-07-12,"TRAIL VERBIER ST BERNARD  - X-ALPINE SOLO",-0.34240243042353896
2010-05-02,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",-0.39263442085768274
2011-07-02,"TRAIL VERBIER ST BERNARD  - X-ALPINE SOLO",-0.39414125609266126
2015-05-02,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",-0.41173906747416894
2019-04-27,"LA BOUILLONNANTE  - LA BOUILLONNANTE 50",-0.4558948401175708
2013-06-15,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",-0.4756320909266559
2025-03-09,"TRAIL DU VENTOUX  - LE 46 ORIGINE",-0.4756320909266559
2017-07-23,"PORTO DA CRUZ NATURA  - TRAIL LONGO",-0.4794045942139886
2017-07-02,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - TGV 72K",-0.5340833236229193
2025-04-25,"GRAND RAID VENTOUX BY UTMB  - GRV - 100M",-0.5659922099114971
2011-06-18,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",-0.5884886788862964
2010-05-08,"ROYAL RAID ILE MAURICE  - ROYAL RAID ILE MAURICE 80",-0.6322878790488426
2010-08-08,"TRAIL UBAYE SALOMON ",-0.6513695356306252
2012-06-09,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",-0.6532673482084218
2018-03-18,"ERGYSPORT TRAIL DU VENTOUX  - 48 KM",-0.6647807445137215
2020-08-29,"TRAIL DES PASSERELLES DU MONTEYNARD  - MARATRAIL DES PASSERELLES 42KM",-0.6789510784279363
2021-06-06,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",-0.7014717876844565
2014-08-10,"TRAIL UBAYE SALOMON  - UBAYE TRAIL SALOMON",-0.7095691213497223
2012-04-28,"HOKA HIGHLAND FLING  - 53 MILE ULTRA RACE",-0.7264989035701997
2019-03-17,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",-0.7399341225944686
2010-06-12,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",-0.758912248372435
2016-03-20,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",-0.7627078735280283
2009-06-13,"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",-0.7871263953623451
2021-05-22,"CORFU MOUNTAIN TRAIL  - RAIN TRAIL 40 KM",-0.7943380831579723
2017-03-19,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",-0.8090145004262663
2018-10-21,"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",-0.842674348066671
2011-07-31,"XTREME DODO TRAIL ",-0.8512059822718806
2011-05-22,"LOZÈRE TRAIL  - LOZERE TRAIL",-0.8564598148711824
2017-05-13,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - ULTRAMARATHON",-0.863277337051592
2020-03-08,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",-0.8684792945305612
2019-06-08,"ABUTRES TRAIL WORLD CHAMPIONSHIPS  - TWC ",-0.8779683574195444
2020-09-13,"SERRE CHE TRAIL  - GRAND TOUR DES CERCES",-0.8809759399241014
2010-03-21,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",-0.9433796309342687
2016-07-09,"SKYRACE DE MONTGENEVRE  - SKY RACE MAX DE MONTGENEVRE",-0.944509386133109
2013-06-30,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - LE TOUR DES GLACIERS DE LA VANOISE",-0.9529502582723057
2011-10-23,"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",-0.9773652540297671
2017-07-30,"MONTREUX TRAIL FESTIVAL  - LA LEYSIN 30",-1.0340950721529483
2015-05-10,"TRAIL DU SALEVE ",-1.0626887816584178
2009-07-12,"MERRELL SKY RACE  - LE TRAIL DES CERCES",-1.0640430270720564
2014-03-09,"TRAIL DES CABORNIS  - 40K",-1.102163283276588
2012-09-23,"TRAIL D'ALBERTVILLE ",-1.115068408805605
2022-07-17,"TRAIL LA ROSIERE  - 15 KM",-1.123369699608014
2019-04-14,"TRAIL DROME  - 42 KM",-1.1258226800797861
2019-07-27,"MONTREUX TRAIL FESTIVAL  - FREDDIE'S NIGHT",-1.1966329408867977
2013-09-22,"TRAIL D'ALBERTVILLE ",-1.1993312872597761
2008-01-01,"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",-1.2034535604678218
2008-08-10,"SIERRE-ZINAL ",-1.3359737928611344
2007-08-12,"SIERRE-ZINAL ",-1.4684411107913402
2022-10-20,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",-2.033960638586348
2017-10-19,"GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",-2.033960638586348
2018-08-29,"UTMB®  - TDS®",-2.033960638586348
