Date,Race,Category,Distance_km,km/h
2008-12-07,"LA SAINTÉLYON ",50K,70,13.6
2009-12-06,"LA SAINTÉLYON ",50K,70,12.61
2019-04-14,"TRAIL DROME  - 42 KM",50K,42.7,12.53
2020-10-11,"EDF TRAIL VALLÉES D'AIGUEBLANCHE  - ÉCHAPEAUX BELLE",20K,25.8,12.39
2019-04-27,"LA BOUILLONNANTE  - LA BOUILLONNANTE 50",50K,52.5,12.24
2017-03-19,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,46.3,12.11
2017-07-23,"PORTO DA CRUZ NATURA  - TRAIL LONGO",20K,22.4,12.08
2020-03-08,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",50K,44.9,11.99
2018-03-18,"ERGYSPORT TRAIL DU VENTOUX  - 48 KM",50K,48.1,11.98
2019-06-08,"ABUTRES TRAIL WORLD CHAMPIONSHIPS  - TWC ",50K,44,11.78
2015-05-10,"TRAIL DU SALEVE ",50K,41,11.75
2011-12-04,"LA SAINTÉLYON ",50K,70,11.74
2019-07-27,"MONTREUX TRAIL FESTIVAL  - FREDDIE'S NIGHT",20K,14.3,11.74
2022-07-17,"TRAIL LA ROSIERE  - 15 KM",20K,15,11.69
2014-03-09,"TRAIL DES CABORNIS  - 40K",50K,40,11.63
2016-03-20,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,44.9,11.56
2021-06-06,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,45.8,11.55
2019-03-17,"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",50K,44.9,11.47
2011-05-22,"LOZÈRE TRAIL  - LOZERE TRAIL",50K,43,11.43
2016-04-10,"TRAIL CHERAN SEMNOZ ",20K,23.3,11.43
2011-05-01,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,51,11.26
2025-03-09,"TRAIL DU VENTOUX  - LE 46 ORIGINE",50K,48,11.26
2012-04-28,"HOKA HIGHLAND FLING  - 53 MILE ULTRA RACE",100K,85,11.25
2010-03-21,"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",50K,41,11.24
2010-05-02,"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",50K,49,11.21
