Date,Race,z_score_minutes
2020-10-29,"GOLDEN TRAIL CHAMPIONSHIP 2020 - GTC AZORES",4.309798960157576
2019-08-11,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL 2019 - 25 KM",2.536035275034814
2023-10-19,"LE GRAND RAID DE LA RÉUNION 2023 - LA DIAGONALE DES FOUS",2.510323402969139
2023-08-20,"TRAIL GALIBIER THABOR 2023 - TRAIL DU GALIBIER-THABOR",2.213980322543114
2012-08-31,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC® 2012 - UTMB®",2.0485107263663385
2012-08-31,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC® 2012 - UTMB®",2.0485107263663385
2012-06-16,"ARAVISTRAIL 2012 - ARAVISTRAIL - 70KM",1.839557150608375
2022-07-03,"WEEK END DU TOUR DES GLACIERS DE LA VANOISE 2022 - TGV 73K",1.8380169522612646
2013-05-25,"LE GRAND RAID 73 2013",1.827615206932133
2013-05-25,"LE GRAND RAID 73 2013",1.827615206932133
2009-08-28,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC® 2009 - CCC®",1.8224438356404826
2011-04-03,"TRAIL SAINTE VICTOIRE 2011",1.3098023725390493
2012-07-01,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE 2012 - LE TOUR DES GLACIERS DE LA VANOISE",1.2210308399125998
2014-06-28,"GRAND RAID DU QUEYRAS 2014 - GRAND RAID DU QUEYRAS (SEMI)",1.2169785017613213
2016-08-07,"COURCHEVEL X-TRAIL 2016 - 54 KM",1.16467801249638
2009-09-27,"TRAIL DES AIGUILLES ROUGES 2009 - TAR",1.0856574185464452
2021-07-11,"TRAIL DES PASSERELLES DU MONTEYNARD 2021 - LA GRANDE COURSE 65KM",1.0356363694915984
2019-08-10,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL 2019 - 50 KM",1.0255055241134017
2014-07-26,"LA 6000D LA COURSE DES GÉANTS 2014 - LA 6000D",1.0215798215293503
