Race,count_z_scores,average_z_score
"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",5,-0.6526853523512308
"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",5,-0.25282889429333
"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",4,-0.804143448143255
"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",3,-1.0078310541880866
"SIERRE-ZINAL ",2,-1.4022074518262373
"TRAIL D'ALBERTVILLE ",2,-1.1571998480326906
"ERGYSPORT TRAIL DU VENTOUX  - 45 KM",2,-0.8042067085625149
"TRAIL UBAYE SALOMON ",2,-0.49359804999646417
"TRAIL VERBIER ST BERNARD  - X-ALPINE SOLO",2,-0.36827184325810014
"WESTERN STATES ENDURANCE RUN  - WESTERN STATES 100-MILE ENDURANCE RUN",2,-0.1387411791946171
"GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",1,-2.033960638586348
"UTMB®  - TDS®",1,-2.033960638586348
"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",1,-2.033960638586348
"MONTREUX TRAIL FESTIVAL  - FREDDIE'S NIGHT",1,-1.1966329408867977
"TRAIL DROME  - 42 KM",1,-1.1258226800797861
"TRAIL LA ROSIERE  - 15 KM",1,-1.123369699608014
"TRAIL DES CABORNIS  - 40K",1,-1.102163283276588
"MERRELL SKY RACE  - LE TRAIL DES CERCES",1,-1.0640430270720564
"TRAIL DU SALEVE ",1,-1.0626887816584178
"MONTREUX TRAIL FESTIVAL  - LA LEYSIN 30",1,-1.0340950721529483
"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - LE TOUR DES GLACIERS DE LA VANOISE",1,-0.9529502582723057
"SKYRACE DE MONTGENEVRE  - SKY RACE MAX DE MONTGENEVRE",1,-0.944509386133109
"SERRE CHE TRAIL  - GRAND TOUR DES CERCES",1,-0.8809759399241014
"ABUTRES TRAIL WORLD CHAMPIONSHIPS  - TWC ",1,-0.8779683574195444
"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - ULTRAMARATHON",1,-0.863277337051592
"LOZÈRE TRAIL  - LOZERE TRAIL",1,-0.8564598148711824
"XTREME DODO TRAIL ",1,-0.8512059822718806
"CORFU MOUNTAIN TRAIL  - RAIN TRAIL 40 KM",1,-0.7943380831579723
"HOKA HIGHLAND FLING  - 53 MILE ULTRA RACE",1,-0.7264989035701997
"TRAIL UBAYE SALOMON  - UBAYE TRAIL SALOMON",1,-0.7095691213497223
"TRAIL DES PASSERELLES DU MONTEYNARD  - MARATRAIL DES PASSERELLES 42KM",1,-0.6789510784279363
"ERGYSPORT TRAIL DU VENTOUX  - 48 KM",1,-0.6647807445137215
"ROYAL RAID ILE MAURICE  - ROYAL RAID ILE MAURICE 80",1,-0.6322878790488426
"GRAND RAID VENTOUX BY UTMB  - GRV - 100M",1,-0.5659922099114971
"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - TGV 72K",1,-0.5340833236229193
"PORTO DA CRUZ NATURA  - TRAIL LONGO",1,-0.4794045942139886
"TRAIL DU VENTOUX  - LE 46 ORIGINE",1,-0.4756320909266559
"LA BOUILLONNANTE  - LA BOUILLONNANTE 50",1,-0.4558948401175708
"VALHOLL ARGENTINA BY UTMB  - EPIC 125K - ",1,-0.339079399051213
"THE AMAZING THAILAND WMRC  - CHIANGMAI WMTRC  LONG",1,-0.3315931543482106
"TRAIL SACRED FORESTS  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",1,-0.2863569165010707
"MONTREUX TRAIL FESTIVAL  - MXTREME",1,-0.27858863610497625
"TRAIL CHERAN SEMNOZ ",1,-0.2727646829148556
"EDF TRAIL VALLÉES D'AIGUEBLANCHE  - ÉCHAPEAUX BELLE",1,-0.22223183187897672
"TRAIL CENIS TOUR  - 50 KM",1,-0.21550524692999595
"ULTRA TRAIL DI CORSICA  - RESTONICA TRAIL",1,-0.20797522043868422
"MAXI-RACE DU LAC D'ANNECY  - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",1,-0.18374174881324845
"GOLDEN TRAIL CHAMPIONSHIP  - VOLCANOES TRAIL",1,-0.11703333158123626
"MAXI-RACE CHINA  - JIANGSHAN STATION 60K",1,-0.09061986908404575
"MARATRAIL DE LANS EN VERCORS - PIC ST-MICHEL ",1,-0.08341749151534954
"TRANS PENEDA GERÊS  - TRAIL WORLD CHAMPIONSHIPS",1,-0.08272356934092623
"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",1,-0.08018223149256593
"LE GRAND RAID 73 ",1,-0.07700555918211553
"TRAIL DES MAURES  - TRAIL DES MAURES LONG",1,-0.07329582443376745
"TRAIL DES BALCONS D'AZUR  - TBA",1,-0.06570457412258088
