Year,Country_cat,average_percentile_finish
2025,FRANCE,0.640000
2024,FRANCE,0.460000
2024,OTHER,0.920000
2023,OTHER,2.455000
2023,FRANCE,4.703333
2022,OTHER,14.643333
2022,FRANCE,10.040000
2021,FRANCE,0.647500
2021,OTHER,2.380000
2020,OTHER,11.023333
2020,FRANCE,1.577500
2019,FRANCE,8.362857
2019,OTHER,0.807500
2018,FRANCE,0.536667
2018,OTHER,1.770000
2017,FRANCE,0.203333
2017,OTHER,0.894000
2016,OTHER,2.393333
2016,FRANCE,0.411250
2015,FRANCE,1.110000
2014,FRANCE,0.980000
2014,OTHER,0.580000
2013,FRANCE,1.180000
2012,FRANCE,1.368125
2012,OTHER,0.550000
2011,FRANCE,2.516667
2011,OTHER,1.735000
2010,FRANCE,0.780000
2010,OTHER,0.650000
2009,FRANCE,2.537500
2008,FRANCE,5.745000
2008,OTHER,4.040000
2007,OTHER,20.000000
